,rank,institution,funding,year
37,0,CASE WESTERN RESERVE U/CLEVELAND CLINIC LERNER COM,4522745,2022
38,0,YALE UNIVERSITY,3959242,2022
39,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3648840,2022
40,0,PENNSYLVANIA STATE UNIV MED CTR HERSHEY,3429434,2022
41,0,UNIVERSITY OF SOUTHERN CALIFORNIA,3405162,2022
42,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,3167729,2022
43,0,MEDICAL COLLEGE OF WISCONSIN,3082337,2022
44,0,UNIVERSITY OF MISSOURI COLUMBIA,2883577,2022
45,0,UNIVERSITY OF ARIZONA,2863973,2022
46,0,UNIVERSITY OF WASHINGTON SEATTLE,2647732,2022
47,0,UNIVERSITY OF IOWA,2590525,2022
48,0,UNIVERSITY OF SOUTH FLORIDA,2101967,2022
49,0,UNIVERSITY OF CALIFORNIA IRVINE,1875096,2022
50,0,WAKE FOREST UNIVERSITY HLTH SCIS,1825866,2022
51,0,EAST TENNESSEE STATE UNIVERSITY,1609186,2022
52,0,HARVARD MEDICAL SCHOOL,1608166,2022
53,0,UNIVERSITY OF CINCINNATI,1383239,2022
54,0,VIRGINIA COMMONWEALTH UNIVERSITY,1313303,2022
55,0,UNIVERSITY OF VERMONT,1131773,2022
56,0,LOYOLA UNIVERSITY CHICAGO,1080472,2022
57,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,1070099,2022
58,0,BOSTON UNIVERSITY MEDICAL CAMPUS,916387,2022
59,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,882617,2022
60,0,UNIVERSITY OF NEW MEXICO HLTH SCIS CTR,834757,2022
61,0,GEORGE WASHINGTON UNIVERSITY,752803,2022
62,0,AUGUSTA UNIVERSITY,673667,2022
63,0,STATE UNIVERSITY OF NEW YORK BUFFALO,644828,2022
64,0,UNIVERSITY OF NEVADA RENO,612680,2022
65,0,TULANE UNIVERSITY OF LOUISIANA,595206,2022
66,0,LOUISIANA STATE UNIV HSC NEW ORLEANS,540119,2022
67,0,ALBANY MEDICAL COLLEGE,461586,2022
68,0,OREGON HEALTH & SCIENCE UNIVERSITY,456464,2022
69,0,UNIVERSITY OF ILLINOIS CHICAGO,403577,2022
70,0,UNIVERSITY OF OKLAHOMA HLTH SCIS CTR,362500,2022
71,0,GEORGETOWN UNIVERSITY,353959,2022
72,0,UNIVERSITY OF TENNESSEE HLTH SCI CTR,346500,2022
73,0,UNIVERSITY OF TEXAS MED BR GALVESTON,341416,2022
74,0,UNIVERSITY OF MISSISSIPPI MED CTR,268394,2022
75,0,SUNY UPSTATE MEDICAL CENTER,244500,2022
76,0,UNIVERSITY OF MASSACHUSETTS WORCESTER,164559,2022
77,0,,,2022
78,0,GRAND TOTAL,504525827,2022
79,0,,,2022
80,0,MEAN,6638497.72368421,2022
81,0,Created 6 February 2023.,,2022
82,0,MEDIAN,3804041,2022
1,0,DUKE UNIVERSITY,30913358,2021
2,0,WASHINGTON UNIVERSITY ST LOUIS,25592903,2021
3,0,UNIVERSITY OF MICHIGAN,25578813,2021
4,0,UNIVERSITY OF PENNSYLVANIA,18325921,2021
5,0,UNIVERSITY OF PITTSBURGH,15962564,2021
6,0,OHIO STATE UNIVERSITY,15259477,2021
7,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,14568462,2021
8,0,UNIVERSITY OF WISCONSIN MADISON,14243653,2021
9,0,UNIVERSITY OF MARYLAND BALTIMORE,13629398,2021
10,0,STANFORD UNIVERSITY,12831923,2021
11,0,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,12785866,2021
12,0,EMORY UNIVERSITY,11606366,2021
13,0,NORTHWESTERN UNIVERSITY CHICAGO,11548187,2021
14,0,JOHNS HOPKINS UNIVERSITY,10974171,2021
15,0,UNIVERSITY OF ROCHESTER,10398611,2021
16,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,9210119,2021
17,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,8943735,2021
18,0,UNIVERSITY OF ALABAMA BIRMINGHAM,8700403,2021
19,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,8433854,2021
20,0,UNIVERSITY OF UTAH,8214783,2021
21,0,UNIVERSITY OF CALIFORNIA DAVIS,8188140,2021
22,0,UNIVERSITY OF FLORIDA,8083308,2021
23,0,VANDERBILT UNIVERSITY,7963712,2021
24,0,UNIVERSITY OF CHICAGO,7835013,2021
25,0,UNIVERSITY OF COLORADO DENVER,7708735,2021
26,0,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,7535477,2021
27,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,7521310,2021
28,0,UNIVERSITY OF MINNESOTA,6471354,2021
29,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",6000203,2021
30,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,5481477,2021
31,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,5287766,2021
32,0,UNIVERSITY OF KENTUCKY,5133229,2021
33,0,BAYLOR COLLEGE OF MEDICINE,4818376,2021
34,0,UNIVERSITY OF VIRGINIA,4567964,2021
35,0,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,4369978,2021
